kingdom,phylum,class,order,family,genus,species,common_name,binomial,bird,full_code
Animalia,Chordata,Aves,Passeriformes,Cettiidae,Abroscopus,albogularis,Rufous-faced Warbler,Abroscopus albogularis,TRUE,Abroscopus albogularis_Rufous-faced Warbler
Animalia,Chordata,Aves,Passeriformes,Cettiidae,Abroscopus,schisticeps,Black-faced Warbler,Abroscopus schisticeps,TRUE,Abroscopus schisticeps_Black-faced Warbler
Animalia,Chordata,Aves,Passeriformes,Cettiidae,Abroscopus,superciliaris,Yellow-bellied Warbler,Abroscopus superciliaris,TRUE,Abroscopus superciliaris_Yellow-bellied Warbler
Animalia,Chordata,Aves,Galliformes,Cracidae,Aburria,aburri,Wattled Guan,Aburria aburri,TRUE,Aburria aburri_Wattled Guan
Animalia,Chordata,Aves,Passeriformes,Meliphagidae,Acanthagenys,rufogularis,Spiny-cheeked Honeyeater,Acanthagenys rufogularis,TRUE,Acanthagenys rufogularis_Spiny-cheeked Honeyeater
Animalia,Chordata,Aves,Passeriformes,Thraupidae,Acanthidops,bairdi,Peg-billed Finch,Acanthidops bairdi,TRUE,Acanthidops bairdi_Peg-billed Finch
Animalia,Chordata,Aves,Passeriformes,Fringillidae,Acanthis,cabaret,Lesser Redpoll,Acanthis cabaret,TRUE,Acanthis cabaret_Lesser Redpoll
Animalia,Chordata,Aves,Passeriformes,Fringillidae,Acanthis,flammea,Common Redpoll,Acanthis flammea,TRUE,Acanthis flammea_Common Redpoll
Animalia,Chordata,Aves,Passeriformes,Fringillidae,Acanthis,hornemanni,Hoary Redpoll,Acanthis hornemanni,TRUE,Acanthis hornemanni_Hoary Redpoll
Animalia,Chordata,Aves,Passeriformes,Acanthisittidae,Acanthisitta,chloris,Rifleman,Acanthisitta chloris,TRUE,Acanthisitta chloris_Rifleman
Animalia,Chordata,Aves,Passeriformes,Acanthizidae,Acanthiza,apicalis,Inland Thornbill,Acanthiza apicalis,TRUE,Acanthiza apicalis_Inland Thornbill
Animalia,Chordata,Aves,Passeriformes,Acanthizidae,Acanthiza,chrysorrhoa,Yellow-rumped Thornbill,Acanthiza chrysorrhoa,TRUE,Acanthiza chrysorrhoa_Yellow-rumped Thornbill
Animalia,Chordata,Aves,Passeriformes,Acanthizidae,Acanthiza,ewingii,Tasmanian Thornbill,Acanthiza ewingii,TRUE,Acanthiza ewingii_Tasmanian Thornbill
