kingdom,phylum,class,order,family,genus,species,common_name,binomial,bird,full_code
Animalia,Chordata,Amphibia,Anura,Hylidae,Acris,crepitans,Northern Cricket Frog,Acris crepitans,FALSE,Acris crepitans_Northern Cricket Frog
Animalia,Chordata,Amphibia,Anura,Hylidae,Acris,gryllus,Southern Cricket Frog,Acris gryllus,FALSE,Acris gryllus_Southern Cricket Frog
Animalia,Arthropoda,Insecta,Orthoptera,Trigonidiidae,Allonemobius,allardi,Allard's Ground Cricket,Allonemobius allardi,FALSE,Allonemobius allardi_Allard's Ground Cricket
Animalia,Arthropoda,Insecta,Orthoptera,Trigonidiidae,Allonemobius,tinnulus,Tinkling Ground Cricket,Allonemobius tinnulus,FALSE,Allonemobius tinnulus_Tinkling Ground Cricket
Animalia,Arthropoda,Insecta,Orthoptera,Trigonidiidae,Allonemobius,walkeri,Walker's Ground Cricket,Allonemobius walkeri,FALSE,Allonemobius walkeri_Walker's Ground Cricket
Animalia,Chordata,Mammalia,Primates,Atelidae,Alouatta,pigra,Mexican Black Howler Monkey,Alouatta pigra,FALSE,Alouatta pigra_Mexican Black Howler Monkey
Animalia,Arthropoda,Insecta,Orthoptera,Tettigoniidae,Amblycorypha,alexanderi,Clicker Round-winged Katydid,Amblycorypha alexanderi,FALSE,Amblycorypha alexanderi_Clicker Round-winged Katydid
Metazoa,Arthropoda,Insecta,Orthoptera,Tettigoniidae,Amblycorypha,longinicta,Common Virtuoso Katydid,Amblycorypha longinicta,FALSE,Amblycorypha longinicta_Common Virtuoso Katydid
Animalia,Arthropoda,Insecta,Orthoptera,Tettigoniidae,Amblycorypha,oblongifolia,Oblong-winged Katydid,Amblycorypha oblongifolia,FALSE,Amblycorypha oblongifolia_Oblong-winged Katydid
Animalia,Arthropoda,Insecta,Orthoptera,Tettigoniidae,Amblycorypha,rotundifolia,Rattler Round-winged Katydid,Amblycorypha rotundifolia,FALSE,Amblycorypha rotundifolia_Rattler Round-winged Katydid
Animalia,Arthropoda,Insecta,Orthoptera,Trigonidiidae,Anaxipha,exigua,Say's Trig,Anaxipha exigua,FALSE,Anaxipha exigua_Say's Trig
Animalia,Chordata,Amphibia,Anura,Bufonidae,Anaxyrus,americanus,American Toad,Anaxyrus americanus,FALSE,Anaxyrus americanus_American Toad
Animalia,Chordata,Amphibia,Anura,Bufonidae,Anaxyrus,canorus,Yosemite Toad,Anaxyrus canorus,FALSE,Anaxyrus canorus_Yosemite Toad
Animalia,Chordata,Amphibia,Anura,Bufonidae,Anaxyrus,cognatus,Great Plains Toad,Anaxyrus cognatus,FALSE,Anaxyrus cognatus_Great Plains Toad
Animalia,Chordata,Amphibia,Anura,Bufonidae,Anaxyrus,fowleri,Fowler's Toad,Anaxyrus fowleri,FALSE,Anaxyrus fowleri_Fowler's Toad
Animalia,Chordata,Amphibia,Anura,Bufonidae,Anaxyrus,houstonensis,Houston Toad,Anaxyrus houstonensis,FALSE,Anaxyrus houstonensis_Houston Toad
Animalia,Chordata,Amphibia,Anura,Bufonidae,Anaxyrus,microscaphus,Arizona Toad,Anaxyrus microscaphus,FALSE,Anaxyrus microscaphus_Arizona Toad
Animalia,Chordata,Amphibia,Anura,Bufonidae,Anaxyrus,quercicus,Oak Toad,Anaxyrus quercicus,FALSE,Anaxyrus quercicus_Oak Toad
Animalia,Chordata,Amphibia,Anura,Bufonidae,Anaxyrus,speciosus,Texas Toad,Anaxyrus speciosus,FALSE,Anaxyrus speciosus_Texas Toad
Animalia,Chordata,Amphibia,Anura,Bufonidae,Anaxyrus,terrestris,Southern Toad,Anaxyrus terrestris,FALSE,Anaxyrus terrestris_Southern Toad
Animalia,Chordata,Amphibia,Anura,Bufonidae,Anaxyrus,woodhousii,Woodhouse's Toad,Anaxyrus woodhousii,FALSE,Anaxyrus woodhousii_Woodhouse's Toad
Metazoa,Arthropoda,Insecta,Hymenoptera,Apidae,Apis,mellifera,Honey Bee,Apis mellifera,FALSE,Apis mellifera_Honey Bee
Animalia,Arthropoda,Insecta,Orthoptera,Tettigoniidae,Atlanticus,testaceus,Protean Shieldback,Atlanticus testaceus,FALSE,Atlanticus testaceus_Protean Shieldback
Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote,Canis latrans,FALSE,Canis latrans_Coyote
Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,lupus,Gray Wolf,Canis lupus,FALSE,Canis lupus_Gray Wolf
Animalia,Arthropoda,Insecta,Orthoptera,Tettigoniidae,Conocephalus,brevipennis,Short-winged Meadow Katydid,Conocephalus brevipennis,FALSE,Conocephalus brevipennis_Short-winged Meadow Katydid
Animalia,Arthropoda,Insecta,Orthoptera,Tettigoniidae,Conocephalus,fasciatus,Slender Meadow Katydid,Conocephalus fasciatus,FALSE,Conocephalus fasciatus_Slender Meadow Katydid
Animalia,Arthropoda,Insecta,Orthoptera,Trigonidiidae,Cyrtoxipha,columbiana,Columbian Trig,Cyrtoxipha columbiana,FALSE,Cyrtoxipha columbiana_Columbian Trig
,,,,,,,Dog,Dog,FALSE,Dog_Dog
Animalia,Chordata,Amphibia,Anura,Hylidae,Dryophytes,andersonii,Pine Barrens Treefrog,Dryophytes andersonii,FALSE,Dryophytes andersonii_Pine Barrens Treefrog
Animalia,Chordata,Amphibia,Anura,Hylidae,Dryophytes,arenicolor,Canyon Treefrog,Dryophytes arenicolor,FALSE,Dryophytes arenicolor_Canyon Treefrog
Animalia,Chordata,Amphibia,Anura,Hylidae,Dryophytes,avivoca,Bird-voiced Treefrog,Dryophytes avivoca,FALSE,Dryophytes avivoca_Bird-voiced Treefrog
Animalia,Chordata,Amphibia,Anura,Hylidae,Dryophytes,chrysoscelis,Cope's Gray Treefrog,Dryophytes chrysoscelis,FALSE,Dryophytes chrysoscelis_Cope's Gray Treefrog
Animalia,Chordata,Amphibia,Anura,Hylidae,Dryophytes,cinereus,Green Treefrog,Dryophytes cinereus,FALSE,Dryophytes cinereus_Green Treefrog
Animalia,Chordata,Amphibia,Anura,Hylidae,Dryophytes,femoralis,Pine Woods Treefrog,Dryophytes femoralis,FALSE,Dryophytes femoralis_Pine Woods Treefrog
Animalia,Chordata,Amphibia,Anura,Hylidae,Dryophytes,gratiosus,Barking Treefrog,Dryophytes gratiosus,FALSE,Dryophytes gratiosus_Barking Treefrog
Animalia,Chordata,Amphibia,Anura,Hylidae,Dryophytes,squirellus,Squirrel Treefrog,Dryophytes squirellus,FALSE,Dryophytes squirellus_Squirrel Treefrog
Animalia,Chordata,Amphibia,Anura,Hylidae,Dryophytes,versicolor,Gray Treefrog,Dryophytes versicolor,FALSE,Dryophytes versicolor_Gray Treefrog
Animalia,Chordata,Amphibia,Anura,Eleutherodactylidae,Eleutherodactylus,planirostris,Greenhouse Frog,Eleutherodactylus planirostris,FALSE,Eleutherodactylus planirostris_Greenhouse Frog
,,,,,,,Engine,Engine,FALSE,Engine_Engine
,,,,,,,Environmental,Environmental,FALSE,Environmental_Environmental
Animalia,Arthropoda,Insecta,Orthoptera,Trigonidiidae,Eunemobius,carolinus,Carolina Ground Cricket,Eunemobius carolinus,FALSE,Eunemobius carolinus_Carolina Ground Cricket
Animalia,Arthropoda,Insecta,Orthoptera,Trigonidiidae,Eunemobius,confusus,Confused Ground Cricket,Eunemobius confusus,FALSE,Eunemobius confusus_Confused Ground Cricket
,,,,,,,Fireworks,Fireworks,FALSE,Fireworks_Fireworks
Animalia,Chordata,Amphibia,Anura,Microhylidae,Gastrophryne,carolinensis,Eastern Narrow-mouthed Toad,Gastrophryne carolinensis,FALSE,Gastrophryne carolinensis_Eastern Narrow-mouthed Toad
Animalia,Chordata,Amphibia,Anura,Microhylidae,Gastrophryne,olivacea,Great Plains Narrow-mouthed Toad,Gastrophryne olivacea,FALSE,Gastrophryne olivacea_Great Plains Narrow-mouthed Toad
Animalia,Arthropoda,Insecta,Orthoptera,Gryllidae,Gryllus,assimilis,Gryllus assimilis,Gryllus assimilis,FALSE,Gryllus assimilis_Gryllus assimilis
Animalia,Arthropoda,Insecta,Orthoptera,Gryllidae,Gryllus,fultoni,Southern Wood Cricket,Gryllus fultoni,FALSE,Gryllus fultoni_Southern Wood Cricket
Animalia,Arthropoda,Insecta,Orthoptera,Gryllidae,Gryllus,pennsylvanicus,Fall Field Cricket,Gryllus pennsylvanicus,FALSE,Gryllus pennsylvanicus_Fall Field Cricket
Animalia,Arthropoda,Insecta,Orthoptera,Gryllidae,Gryllus,rubens,Southeastern Field Cricket,Gryllus rubens,FALSE,Gryllus rubens_Southeastern Field Cricket
,,,,,,,Gun,Gun,FALSE,Gun_Gun
,,,,,,,Human non-vocal,Human non-vocal,FALSE,Human non-vocal_Human non-vocal
,,,,,,,Human vocal,Human vocal,FALSE,Human vocal_Human vocal
,,,,,,,Human whistle,Human whistle,FALSE,Human whistle_Human whistle
,,,,,,,Pacific Chorus Frog,Hyliola regilla,FALSE,Hyliola regilla_Pacific Chorus Frog
Animalia,Chordata,Amphibia,Anura,Bufonidae,Incilius,valliceps,Gulf Coast Toad,Incilius valliceps,FALSE,Incilius valliceps_Gulf Coast Toad
ANIMALIA,CHORDATA,AVES,PASSERIFORMES,LANIIDAE,Lanius,corvinus,Yellow-billed Shrike,Lanius corvinus,FALSE,Lanius corvinus_Yellow-billed Shrike
Animalia,Chordata,Amphibia,Anura,Ranidae,Lithobates,catesbeianus,American Bullfrog,Lithobates catesbeianus,FALSE,Lithobates catesbeianus_American Bullfrog
Animalia,Chordata,Amphibia,Anura,Ranidae,Lithobates,clamitans,Green Frog,Lithobates clamitans,FALSE,Lithobates clamitans_Green Frog
Animalia,Chordata,Amphibia,Anura,Ranidae,Lithobates,palustris,Pickerel Frog,Lithobates palustris,FALSE,Lithobates palustris_Pickerel Frog
Animalia,Chordata,Amphibia,Anura,Ranidae,Lithobates,sylvaticus,Wood Frog,Lithobates sylvaticus,FALSE,Lithobates sylvaticus_Wood Frog
Animalia,Arthropoda,Insecta,Orthoptera,Tettigoniidae,Microcentrum,rhombifolium,Greater Angle-wing,Microcentrum rhombifolium,FALSE,Microcentrum rhombifolium_Greater Angle-wing
Animalia,Arthropoda,Insecta,Orthoptera,Gryllidae,Miogryllus,saussurei,Miogryllus saussurei,Miogryllus saussurei,FALSE,Miogryllus saussurei_Miogryllus saussurei
,,,,,,,Amazonian Antpitta,Myrmothera berlepschi,FALSE,Myrmothera berlepschi_Amazonian Antpitta
,,,,,,,White-lored Antpitta,Myrmothera fulviventris,FALSE,Myrmothera fulviventris_White-lored Antpitta
Animalia,Arthropoda,Insecta,Orthoptera,Tettigoniidae,Neoconocephalus,bivocatus,False Robust Conehead,Neoconocephalus bivocatus,FALSE,Neoconocephalus bivocatus_False Robust Conehead
Animalia,Arthropoda,Insecta,Orthoptera,Tettigoniidae,Neoconocephalus,ensiger,Sword-bearing Conehead,Neoconocephalus ensiger,FALSE,Neoconocephalus ensiger_Sword-bearing Conehead
Animalia,Arthropoda,Insecta,Orthoptera,Tettigoniidae,Neoconocephalus,retusus,Round-tipped Conehead,Neoconocephalus retusus,FALSE,Neoconocephalus retusus_Round-tipped Conehead
Animalia,Arthropoda,Insecta,Orthoptera,Tettigoniidae,Neoconocephalus,robustus,Robust Conehead,Neoconocephalus robustus,FALSE,Neoconocephalus robustus_Robust Conehead
Animalia,Arthropoda,Insecta,Orthoptera,Trigonidiidae,Neonemobius,cubensis,Cuban Ground Cricket,Neonemobius cubensis,FALSE,Neonemobius cubensis_Cuban Ground Cricket
,,,,,,,Noise,Noise,FALSE,Noise_Noise
Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Odocoileus,virginianus,White-tailed Deer,Odocoileus virginianus,FALSE,Odocoileus virginianus_White-tailed Deer
Animalia,Arthropoda,Insecta,Orthoptera,Gryllidae,Oecanthus,celerinictus,Fast-calling Tree Cricket,Oecanthus celerinictus,FALSE,Oecanthus celerinictus_Fast-calling Tree Cricket
Animalia,Arthropoda,Insecta,Orthoptera,Gryllidae,Oecanthus,exclamationis,Davis's Tree Cricket,Oecanthus exclamationis,FALSE,Oecanthus exclamationis_Davis's Tree Cricket
Animalia,Arthropoda,Insecta,Orthoptera,Gryllidae,Oecanthus,fultoni,Snowy Tree Cricket,Oecanthus fultoni,FALSE,Oecanthus fultoni_Snowy Tree Cricket
Animalia,Arthropoda,Insecta,Orthoptera,Gryllidae,Oecanthus,nigricornis,Blackhorned Tree Cricket,Oecanthus nigricornis,FALSE,Oecanthus nigricornis_Blackhorned Tree Cricket
Animalia,Arthropoda,Insecta,Orthoptera,Gryllidae,Oecanthus,niveus,Narrow-winged Tree Cricket,Oecanthus niveus,FALSE,Oecanthus niveus_Narrow-winged Tree Cricket
Animalia,Arthropoda,Insecta,Orthoptera,Gryllidae,Oecanthus,pini,Pine Tree Cricket,Oecanthus pini,FALSE,Oecanthus pini_Pine Tree Cricket
Animalia,Arthropoda,Insecta,Orthoptera,Gryllidae,Oecanthus,quadripunctatus,Four-spotted Tree Cricket,Oecanthus quadripunctatus,FALSE,Oecanthus quadripunctatus_Four-spotted Tree Cricket
Animalia,Arthropoda,Insecta,Orthoptera,Tettigoniidae,Orchelimum,agile,Agile Meadow Katydid,Orchelimum agile,FALSE,Orchelimum agile_Agile Meadow Katydid
Animalia,Arthropoda,Insecta,Orthoptera,Tettigoniidae,Orchelimum,concinnum,Stripe-faced Meadow Katydid,Orchelimum concinnum,FALSE,Orchelimum concinnum_Stripe-faced Meadow Katydid
Animalia,Arthropoda,Insecta,Orthoptera,Tettigoniidae,Orchelimum,pulchellum,Handsome Meadow Katydid,Orchelimum pulchellum,FALSE,Orchelimum pulchellum_Handsome Meadow Katydid
Animalia,Arthropoda,Insecta,Orthoptera,Gryllidae,Orocharis,saltator,Jumping Bush Cricket,Orocharis saltator,FALSE,Orocharis saltator_Jumping Bush Cricket
Animalia,Arthropoda,Insecta,Orthoptera,Trigonidiidae,Phyllopalpus,pulchellus,Handsome Trig,Phyllopalpus pulchellus,FALSE,Phyllopalpus pulchellus_Handsome Trig
,,,,,,,Power tools,Power tools,FALSE,Power tools_Power tools
Animalia,Chordata,Amphibia,Anura,Hylidae,Pseudacris,brimleyi,Brimley's Chorus Frog,Pseudacris brimleyi,FALSE,Pseudacris brimleyi_Brimley's Chorus Frog
Animalia,Chordata,Amphibia,Anura,Hylidae,Pseudacris,clarkii,Spotted Chorus Frog,Pseudacris clarkii,FALSE,Pseudacris clarkii_Spotted Chorus Frog
Animalia,Chordata,Amphibia,Anura,Hylidae,Pseudacris,crucifer,Spring Peeper,Pseudacris crucifer,FALSE,Pseudacris crucifer_Spring Peeper
Animalia,Chordata,Amphibia,Anura,Hylidae,Pseudacris,feriarum,Upland Chorus Frog,Pseudacris feriarum,FALSE,Pseudacris feriarum_Upland Chorus Frog
Animalia,Chordata,Amphibia,Anura,Hylidae,Pseudacris,nigrita,Southern Chorus Frog,Pseudacris nigrita,FALSE,Pseudacris nigrita_Southern Chorus Frog
Animalia,Chordata,Amphibia,Anura,Hylidae,Pseudacris,ocularis,Little Grass Frog,Pseudacris ocularis,FALSE,Pseudacris ocularis_Little Grass Frog
Animalia,Chordata,Amphibia,Anura,Hylidae,Pseudacris,ornata,Ornate Chorus Frog,Pseudacris ornata,FALSE,Pseudacris ornata_Ornate Chorus Frog
Animalia,Chordata,Amphibia,Anura,Hylidae,Pseudacris,streckeri,Strecker's Chorus Frog,Pseudacris streckeri,FALSE,Pseudacris streckeri_Strecker's Chorus Frog
Animalia,Chordata,Amphibia,Anura,Hylidae,Pseudacris,triseriata,Striped Chorus Frog,Pseudacris triseriata,FALSE,Pseudacris triseriata_Striped Chorus Frog
Animalia,Arthropoda,Insecta,Orthoptera,Tettigoniidae,Pterophylla,camellifolia,Common True Katydid,Pterophylla camellifolia,FALSE,Pterophylla camellifolia_Common True Katydid
,,,,,,,Blue Finch,Rhopospina caerulescens,FALSE,Rhopospina caerulescens_Blue Finch
Animalia,Chordata,Amphibia,Anura,Scaphiopodidae,Scaphiopus,couchii,Couch's Spadefoot,Scaphiopus couchii,FALSE,Scaphiopus couchii_Couch's Spadefoot
Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Sciurus,carolinensis,Eastern Gray Squirrel,Sciurus carolinensis,FALSE,Sciurus carolinensis_Eastern Gray Squirrel
Animalia,Arthropoda,Insecta,Orthoptera,Tettigoniidae,Scudderia,curvicauda,Curve-tailed Bush Katydid,Scudderia curvicauda,FALSE,Scudderia curvicauda_Curve-tailed Bush Katydid
Animalia,Arthropoda,Insecta,Orthoptera,Tettigoniidae,Scudderia,furcata,Fork-tailed Bush Katydid,Scudderia furcata,FALSE,Scudderia furcata_Fork-tailed Bush Katydid
Animalia,Arthropoda,Insecta,Orthoptera,Tettigoniidae,Scudderia,texensis,Texas Bush Katydid,Scudderia texensis,FALSE,Scudderia texensis_Texas Bush Katydid
,,,,,,,Siren,Siren,FALSE,Siren_Siren
Animalia,Chordata,Amphibia,Anura,Scaphiopodidae,Spea,bombifrons,Plains Spadefoot,Spea bombifrons,FALSE,Spea bombifrons_Plains Spadefoot
Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Tamias,striatus,Eastern Chipmunk,Tamias striatus,FALSE,Tamias striatus_Eastern Chipmunk
Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Tamiasciurus,hudsonicus,Red Squirrel,Tamiasciurus hudsonicus,FALSE,Tamiasciurus hudsonicus_Red Squirrel
